2026-06-27 06:46:15 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-27 06:46:15 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 06:46:15 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-06-27 06:46:16 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2026-06-27 06:46:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@147549cf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e8f62a0, org.springframework.security.web.context.SecurityContextHolderFilter@68ebe2e6, org.springframework.security.web.header.HeaderWriterFilter@49bbf4dd, org.springframework.web.filter.CorsFilter@31e58cf9, org.springframework.security.web.authentication.logout.LogoutFilter@736ed2e9, com.noc.employee_cv.security.JwtFilter@34365dae, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f7269f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1fd35b41, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@546a1472, org.springframework.security.web.session.SessionManagementFilter@7319fb95, org.springframework.security.web.access.ExceptionTranslationFilter@5734bcd4, org.springframework.security.web.access.intercept.AuthorizationFilter@497be287]
2026-06-27 06:46:16 [main] INFO  c.n.e.EmployeeCvApplicationTests - Started EmployeeCvApplicationTests in 2.702 seconds (process running for 2.995)
2026-06-27 06:46:16 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 06:46:16 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-27 06:46:16 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-27 06:55:41 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
